source_id,source_type,food_id,standard_content
2,Nutrient,48,1300.0
2,Nutrient,48,200.0
2,Nutrient,48,1250.0
2,Nutrient,48,11065.0
2,Nutrient,49,1400.0
2,Nutrient,49,200.0
2,Nutrient,49,1100.0
2,Nutrient,49,200.0
2,Nutrient,49,900.0
2,Nutrient,49,1700.0
2,Nutrient,49,1400.0
2,Nutrient,49,1430.0
2,Nutrient,49,12800.0
2,Nutrient,49,4200.0
2,Nutrient,50,3990.0
2,Nutrient,50,4300.0
2,Nutrient,51,3900.0
2,Nutrient,52,800.0
2,Nutrient,52,100.0
2,Nutrient,52,610.0
2,Nutrient,52,28330.0
2,Nutrient,52,5050.0
2,Nutrient,52,
2,Nutrient,53,700.0
2,Nutrient,53,100.0
2,Nutrient,53,3450.0
2,Nutrient,54,400.0
2,Nutrient,54,100.0
2,Nutrient,54,1500.0
2,Nutrient,54,200.0
2,Nutrient,54,500.0
2,Nutrient,54,100.0
2,Nutrient,54,1100.0
2,Nutrient,54,350.0
2,Nutrient,54,400.0
2,Nutrient,54,460.0
2,Nutrient,54,1500.0
2,Nutrient,54,6050.0
2,Nutrient,55,760.0
2,Nutrient,56,500.0
2,Nutrient,56,100.0
2,Nutrient,56,900.0
2,Nutrient,56,100.0
2,Nutrient,56,810.0
2,Nutrient,56,620.0
2,Nutrient,56,450.0
2,Nutrient,56,500.0
2,Nutrient,56,500.0
2,Nutrient,56,1500.0
2,Nutrient,56,430.0
2,Nutrient,56,750.0
2,Nutrient,56,850.0
2,Nutrient,56,4317.9
2,Nutrient,57,500.0
2,Nutrient,57,100.0
2,Nutrient,57,600.0
2,Nutrient,57,100.0
2,Nutrient,57,900.0
2,Nutrient,57,200.0
2,Nutrient,57,940.0
2,Nutrient,57,1040.0
2,Nutrient,57,910.0
2,Nutrient,57,700.0
2,Nutrient,57,1300.0
2,Nutrient,57,700.0
2,Nutrient,57,680.0
2,Nutrient,57,680.0
2,Nutrient,57,680.0
2,Nutrient,57,680.0
2,Nutrient,57,2390.0
2,Nutrient,57,680.0
2,Nutrient,57,1500.0
2,Nutrient,57,300.0
2,Nutrient,57,4363.0
2,Nutrient,58,14600.0
2,Nutrient,58,2300.0
2,Nutrient,58,100.0
2,Nutrient,58,0.0
2,Nutrient,58,11600.0
